retrosheet_id,retrosheet_venue,mlb_id,mlb_venue
ANA01,Angel Stadium of Anaheim,1,Angel Stadium
ARL01,Arlington Stadium,3111,Arlington Stadium
ARL02,Rangers Ballpark in Arlington,13,Choctaw Stadium
ARL03,Globe Life Field in Arlington,5325,Globe Life Field
ATL01,Atlanta-Fulton County Stadium,3112,Atlanta-Fulton County Stadium
ATL02,Turner Field,6449,Turner Field
ATL03,Suntrust Park,4705,Truist Park
BAL11,Memorial Stadium,2810,Memorial Stadium
BAL12,Oriole Park at Camden Yards,2,Oriole Park at Camden Yards
BOS07,Fenway Park,3,Fenway Park
BST01,Bristol Motor Speedway,6130,Bristol Motor Speedway
BUF05,Sahlen Field,2756,Sahlen Field
CHI10,Comiskey Park I,3119,Comiskey Park
CHI11,Wrigley Field,3153,Wrigley Field
CHI12,Guaranteed Rate Field;U.S. Cellular Field,4,Rate Field
CIN08,Cinergy Field,18,Cinergy Field
CIN09,Great American Ballpark,2602,Great American Ball Park
CLE07,Cleveland Stadium,3116,Cleveland Municipal Stadium
CLE08,Progressive Field,5,Progressive Field
DEN01,Mile High Stadium,3136,Mile High Stadium
DEN02,Coors Field,19,Coors Field
DET04,Tiger Stadium,6,Tiger Stadium
DET05,Comerica Park,2394,Comerica Park
DUN01,TD Ballpark,2536,TD Ballpark
DYE01,Field of Dreams,5445,Field of Dreams
FTB01,Fort Bragg Field,5010,Fort Bragg Field
HON01,Aloha Stadium,3154,Aloha Stadium
HOU02,Astrodome,21,Astrodome
HOU03,Minute Maid Park,6745,Minnehaha Park
KAN06,Kauffman Stadium,7,Kauffman Stadium
LAS01,Cashman Field,2503,Cashman Field
LBV01,The Ballpark at Disney's Wide World,2504,The Stadium at the ESPN Wide World of Sports
LON01,London Stadium,5381,London Stadium
LOS03,Dodger Stadium,6956,Dodger Stadium
MIA01,Sun Life Stadium,20,Hard Rock Stadium
MIA02,Marlins Park,4169,loanDepot park
MIL05,County Stadium,23,Milwaukee County Stadium
MIL06,Miller Park,32,American Family Field
MIN02,Metropolitan Stadium,3135,Metropolitan Stadium
MIN03,Hubert H. Humphrey Metrodome,8,Hubert H. Humphrey Metrodome
MIN04,Target Field,3312,Target Field
MNT01,Estadio Monterrey,2701,Walmart Park
MON02,Stade Olympique,4879,Olympic Stadium
NYC16,Yankee Stadium I,9,Yankee Stadium I
NYC17,Shea Stadium,25,Shea Stadium
NYC20,Citi Field,3289,Citi Field
NYC21,Yankee Stadium II,3313,Yankee Stadium
OAK01,Oakland-Alameda County Coliseum,5062,Oakland-Alameda County Coliseum Arena
OMA01,TD Ameritrade Park,5365,TD Ameritrade Park
PHI12,Veterans Stadium,26,Veterans Stadium
PHI13,Citizens Bank Park,2681,Citizens Bank Park
PHO01,Chase Field,15,Chase Field
PIT07,Three Rivers Stadium,27,Three Rivers Stadium
PIT08,PNC Park,31,PNC Park
SAC01,Sutter Health Park,2529,Sutter Health Park
SAN01,Qualcomm Stadium,28,Qualcomm Stadium
SAN02,PETCO Park,2680,Petco Park
SEA02,Kingdome,11,The Kingdome
SEA03,Safeco Field,680,T-Mobile Park
SFO02,Candlestick Park,29,3Com Park at Candlestick Point
SFO03,AT&T Park,2682,AT&T Field
SJU01,Estadio Hiram Bithorn,2535,Hiram Bithorn Stadium
STL09,Busch Stadium II,2889,Busch Stadium
STL10,Busch Stadium III,2889,Busch Stadium
STP01,Tropicana Field,12,Tropicana Field
SYD01,Sydney Cricket Ground,4589,Sydney Cricket Ground
TAM01,George M. Steinbrenner Field,2523,George M. Steinbrenner Field
TOK01,Tokyo Dome,2397,Tokyo Dome
TOR01,Exhibition Stadium,3123,Exhibition Stadium
TOR02,Rogers Centre,14,Rogers Centre
WAS10,Robert F. Kennedy Stadium,2721,Robert F. Kennedy Memorial Stadium
WAS11,Nationals Park,3309,Nationals Park
WIL02,BB&T Ballpark at Bowman Field,5027,BB&T Center
